RANK,NAME,SCORE,MONEY
1,GeForce RTX 4090,38945,2979800
2,GeForce RTX 4080,34832,1560000
3,Radeon PRO W7800,32146,4390720
4,GeForce RTX 4070 Ti,31641,1283870
5,Radeon RX 7900 XTX,31177,218250
6,Radeon PRO W7900,30892,7162020
7,GeForce RTX 3090 Ti,29825,2764127
8,Radeon RX 7900 XT,29055,863000
9,GeForce RTX 4090 Laptop GPU,28999,2979800
10,Radeon RX 6950 XT,28630,1250000
11,Radeon RX 7900 GRE,28086,730000
12,GeForce RTX 3080 Ti,27348,741900
13,Radeon RX 6900 XT,26967,909837
14,GeForce RTX 3090,26928,2068530
15,GeForce RTX 4070,26910,822380
16,GeForce RTX 3080 12GB,26758,1212470
17,GeForce RTX 4080 Laptop GPU,26528,1560000
18,GeForce RTX 3080,25366,1038900
19,Radeon RX 6800 XT,25193,108200
20,Radeon RX 7800 XT,24699,783050
21,RTX 4000 Ada Generation Laptop GPU,23950,2232480
22,GeForce RTX 3070 Ti,23772,2999990
23,RTX A5000,23078,3540000
24,RTX A6000,22772,7090700
25,RTX 6000 Ada Generation,22718,12209990
26,GeForce RTX 4060 Ti 16GB,22599,667900
27,GeForce RTX 4060 Ti,22588,529000
28,GeForce RTX 3070,22486,104200
29,Radeon RX 6800,22375,345000
30,NVIDIA A10,22064,28600
31,GeForce RTX 2080 Ti,21862,100600
32,RTX A4500,21619,2229000
33,RTX 5000 Ada Generation Laptop GPU,21349,7035880
34,RTX 4000 SFF Ada Generation,21300,2232480
35,Radeon RX 6750 XT,21145,972000
