RANK,NAME,SCORE,MONEY
1,A-DATA Technology AX5U6000C4016G-DCLAWH 16GB,30232,90692
2,Kingston KF560C36-32 32GB,28205,201830
3,Essencore Limited KD5AGUA80-62E400S 16GB,28122,33190
4,Kingston KF552C36-32 32GB,28037,261260
5,Corsair CMT64GX5M2B6000Z40 32GB,27899,600400
6,A-DATA Technology AX5U6000C4016G-CLAWH 16GB,27424,93919
7,Corsair CMT32GX5M2D6000Z36 16GB,27385,242479
8,A-DATA Technology AX5U6000C4016G-BLARBK 16GB,27287,89194
9,Corsair CMH32GX5M2B6000Z30 16GB,27028,102092
10,Kingston 9965794-016.A00G 32GB,26906,70132
11,Corsair CMH64GX5M2B6000Z40 32GB,26799,687180
12,G Skill Intl F5-6000J3038F16G 16GB,26787,236279
13,Corsair CMK32GX5M1B5600C40 32GB,26691,102092
14,Corsair CMT32GX5M2B6000Z30 16GB,26665,277776
15,Corsair CMK64GX5M2B6600C32 32GB,26564,102092
16,A-DATA Technology AX5U6000C3016G-BLARBK 16GB,26090,93919
17,Gloway International Co. Ltd. VGM5UH60C30AG-DTACWN 16GB,25429,36804
18,Corsair CMH64GX5M2B6000C40 32GB,25342,248280
19,A-DATA Technology AX5U6000C4016G-CLARBK 16GB,25318,248280
20,Corsair CMK32GX5M2D6000Z36 16GB,25236,280950
21,G Skill Intl F5-5200J3636D32G 32GB,25159,159087
22,G Skill Intl F5-6000J3238F16G 16GB,25154,173330
23,Corsair CMH32GX5M2D6000Z36 16GB,25066,168750
24,Corsair CMK32GX5M2B5200Z40 16GB,25052,199960
25,Corsair CMK64GX5M2B5200Z40 32GB,24982,258810
26,G Skill Intl F5-6000J3040G32G 32GB,24945,314490
27,G Skill Intl F5-5200J3636C16G 16GB,24697,63050
28,Kingston KVR48U40BS8-16 16GB,24569,87196
29,Corsair CMH64GX5M2B5600C36 32GB, 24552, 202100
30,Kingston KF560C36-16 16GB,24537, 101550
31,Corsair CMT64GX5M2B5200Z40 32GB,24492,275290
32,Crucial Technology CT16G52C42U5.M8G1 16GB,24486,83524
33,Kingston 9965800-015.A00G 16GB,24302,77610
34,Kingston KF552C36-16 16GB,24292,98184
