RANK,NAME,US,CE,BS,SC,MONEY
1,Samsung  980 Pro NVMe PCIe M.2 1TB,68,119,395,2882,180682
2,Samsung  980 Pro NVMe PCIe M.2 2TB,67,147,432,2927,305793
3, Samsung  970 Evo Plus NVMe PCIe M.2 1TB,66,132,332,2148,125028
4,Samsung  970 Evo Plus NVMe PCIe M.2 500GB,65,106,289,2147,69485
5,etc HP EX950 NVMe PCIe M.2 2TB,62,131,300,1794,219601
6,Adata XPG SX8200 Pro NVMe PCIe M.2 512GB,62,101,242,1494,59755
7,Samsung  860 Evo 2TB,61,33.8,113,440,361392
8,Adata XPG SX8200 Pro NVMe PCIe M.2 1TB,61,135,279,1652,97284
9,Crucial P1 3D NVMe PCIe M.2 1TB,61,91.8,212,1270,111184
10,Samsung  970 Evo Plus NVMe PCIe M.2 250GB,61,44.9,251,1912,90279
11,etc HP EX950 NVMe PCIe M.2 1TB,60,74.2,284,1700,222381
12,Crucial MX500 250GB,60,29,101,394,47954
13,Crucial MX500 1TB,60,55.7,106,420,86164
14,Crucial MX500 500GB,59,43.5,106,425,59755
15,Crucial MX500 2TB,59,53.9,108,420,183462
16,etc HP EX950 NVMe PCIe M.2 512GB,59,66.6,255,1469,111184
17,Samsung 860 Evo 500GB,59,28.4,105,401,104220
19, Samsung  970 Evo NVMe PCIe M.2 250GB,58,29.3,235,1408,145794
21,Samsung  970 Evo Plus NVMe PCIe M.2 2TB,58,141,341,2122,236225
22,Samsung 970 Evo NVMe PCIe M.2 500GB,57,99.7,273,2063,69485
23,Adata XPG SX8200 Pro NVMe PCIe M.2 256GB,57,33.4,213,957,109919
24,Samsung  870 EVO 500GB,57,33.4,105,410,83384
25,Samsung  870 EVO 1TB,57,44.6,113,437,125083
26,Samsung  860 Evo 250GB,57,19.6,104,381,83384
27,Gigabyte Aorus NVMe PCIe M.2 1TB,57,73.7,339,3054,277980
28,Samsung  850 Evo 250GB,56,14.5,103,434,125167
29,HyperX Savage 240GB,56,12.1,89.3,393,125097
30,Adata XPG SX8200 Pro NVMe PCIe M.2 2TB,56,105,271,1606,263510
31,Samsung  850 Pro 512GB,56,11.7,102,408,32481
32,Samsung  870 Evo 250GB,56,25,103,393,59755
33,Gigabyte Aorus NVMe PCIe M.2 2TB,56,137,360,2997,262704
34,Samsung  860 Evo 1TB,56,30.2,112,433,208482
